Date,Time,Carrier,X_Pos,Y_Pos,Data1,Data2,H_Avg,I_Avg,J_L,K_a,L_b,M_L,N_a,O_b
2020-11-20,12:09:44,2,1320,165,2,0,4.9558,0.9481,24.24,1.6,-3.27,98.29,-0.23,0.54
2020-11-20,12:09:53,2,1320,590,6,0,4.9597,0.9481,24.23,1.62,-3.12,98.29,-0.23,0.51
2020-11-20,12:10:02,2,1320,1010,10,0,4.953,0.9478,24.26,1.58,-2.78,98.27,-0.23,0.48
2020-11-20,12:10:07,2,1320,1205,12,2,4.9751,0.9476,24.22,1.71,-3.27,98.28,-0.24,0.54
2020-11-20,12:11:13,63,1320,165,2,0,4.9728,0.9481,24.23,1.71,-3.35,98.3,-0.25,0.56
2020-11-20,12:11:22,63,1320,590,6,0,4.9856,0.9479,24.23,1.74,-3.23,98.29,-0.25,0.53
2020-11-20,12:11:31,63,1320,1010,10,0,4.9436,0.948,24.25,1.64,-2.8,98.28,-0.24,0.49
2020-11-20,12:11:33,63,1320,1100,11,0,4.9205,0.9337,24.23,1.58,-2.86,97.71,-0.25,0.41
2020-11-20,12:12:42,3,1320,165,2,0,4.9755,0.9479,24.21,1.73,-3.46,98.3,-0.24,0.56
2020-11-20,12:12:51,3,1320,590,6,0,4.9838,0.9477,24.24,1.7,-3.2,98.29,-0.24,0.53
2020-11-20,12:13:00,3,1320,1010,10,0,4.9542,0.9478,24.23,1.64,-2.87,98.28,-0.24,0.49
2020-11-20,12:13:05,3,1320,1205,12,2,4.9777,0.9473,24.23,1.74,-3.35,98.27,-0.24,0.56
2020-11-20,12:14:13,12,1320,165,2,0,4.9406,0.9483,24.2,1.67,-3.3,98.3,-0.24,0.55
2020-11-20,12:14:22,12,1320,590,6,0,4.9475,0.9481,24.22,1.62,-3.03,98.29,-0.24,0.53
2020-11-20,12:14:25,12,1320,680,7,0,4.9937,0.9356,24.21,1.75,-3.21,97.82,-0.27,0.46
2020-11-20,12:14:31,12,1320,1010,10,0,4.9401,0.9479,24.25,1.59,-2.71,98.28,-0.24,0.48
2020-11-20,12:14:33,12,1320,1100,11,0,4.9243,0.9385,24.22,1.58,-2.81,97.91,-0.24,0.43
2020-11-20,12:15:42,33,1320,165,2,0,4.9686,0.9481,24.22,1.75,-3.56,98.3,-0.24,0.57
2020-11-20,12:15:51,33,1320,590,6,0,4.9683,0.9479,24.22,1.74,-3.31,98.29,-0.25,0.57
2020-11-20,12:15:53,33,1320,680,7,0,5.0167,0.9464,24.22,1.85,-3.48,98.25,-0.26,0.56
2020-11-20,12:16:00,33,1320,1010,10,0,4.9489,0.9478,24.22,1.68,-2.95,98.28,-0.24,0.51
2020-11-20,12:16:04,33,1320,1205,12,2,4.9806,0.9476,24.24,1.8,-3.46,98.28,-0.26,0.56
2020-11-20,12:17:13,14,1320,165,2,0,4.9741,0.948,24.22,1.75,-3.55,98.3,-0.26,0.6
2020-11-20,12:17:22,14,1320,590,6,0,4.9732,0.9478,24.23,1.74,-3.37,98.29,-0.26,0.57
2020-11-20,12:17:31,14,1320,1010,10,0,4.9538,0.9478,24.24,1.67,-2.96,98.28,-0.25,0.51
2020-11-20,12:17:35,14,1320,1205,12,2,4.9678,0.9476,24.2,1.8,-3.49,98.28,-0.26,0.58
2020-11-20,12:18:41,40,1320,165,2,0,4.9471,0.9482,24.23,1.64,-3.22,98.29,-0.24,0.53
2020-11-20,12:18:51,40,1320,590,6,0,4.9602,0.948,24.22,1.65,-3.03,98.29,-0.24,0.51
2020-11-20,12:18:53,40,1320,680,7,0,5.005,0.9474,24.21,1.75,-3.12,98.29,-0.24,0.51
2020-11-20,12:19:00,40,1320,1010,10,0,4.9469,0.948,24.25,1.61,-2.67,98.28,-0.23,0.46
2020-11-20,12:19:02,40,1320,1100,11,0,4.9529,0.9478,24.29,1.55,-2.72,98.27,-0.22,0.45
2020-11-20,12:20:12,27,1320,165,2,0,4.9516,0.948,24.2,1.72,-3.46,98.29,-0.25,0.58
2020-11-20,12:20:20,27,1320,590,6,0,4.9764,0.9477,24.21,1.77,-3.32,98.29,-0.25,0.56
2020-11-20,12:20:29,27,1320,1010,10,0,4.9628,0.9478,24.23,1.68,-2.9,98.28,-0.24,0.5
2020-11-20,12:20:34,27,1320,1205,12,2,4.9758,0.9475,24.2,1.81,-3.43,98.28,-0.25,0.57
2020-11-20,12:21:41,26,1320,165,2,0,4.9842,0.9479,24.22,1.82,-3.72,98.3,-0.26,0.61
2020-11-20,12:21:50,26,1320,590,6,0,4.9851,0.9477,24.21,1.83,-3.5,98.29,-0.27,0.59
2020-11-20,12:21:59,26,1320,1010,10,0,4.9601,0.9479,24.21,1.74,-3.06,98.29,-0.25,0.52
2020-11-20,12:22:04,26,1320,1205,12,2,4.9827,0.9474,24.2,1.86,-3.58,98.28,-0.27,0.61
2020-11-20,12:23:11,18,1320,165,2,0,4.9547,0.9481,24.2,1.76,-3.57,98.3,-0.25,0.58
2020-11-20,12:23:20,18,1320,590,6,0,4.9868,0.9477,24.21,1.82,-3.45,98.29,-0.26,0.57
2020-11-20,12:23:29,18,1320,1010,10,0,4.9632,0.9477,24.23,1.75,-3.07,98.28,-0.25,0.53
2020-11-20,12:23:33,18,1320,1205,12,2,4.9881,0.9474,24.2,1.87,-3.56,98.28,-0.27,0.59
2020-11-20,12:24:40,7,1320,165,2,0,4.9624,0.9481,24.22,1.77,-3.6,98.3,-0.26,0.59
2020-11-20,12:24:49,7,1320,590,6,0,4.974,0.9479,24.22,1.77,-3.38,98.29,-0.25,0.55
2020-11-20,12:24:58,7,1320,1010,10,0,4.956,0.9479,24.22,1.74,-3.06,98.29,-0.25,0.52
2020-11-20,12:25:03,7,1320,1205,12,2,4.9826,0.9476,24.21,1.85,-3.54,98.28,-0.26,0.58
2020-11-20,12:26:10,13,1320,165,2,0,4.996,0.9477,24.23,1.86,-3.84,98.29,-0.27,0.64
2020-11-20,12:26:20,13,1320,590,6,0,4.9832,0.9476,24.2,1.85,-3.56,98.29,-0.27,0.61
2020-11-20,12:26:29,13,1320,1010,10,0,4.9619,0.9476,24.21,1.76,-3.14,98.28,-0.25,0.54
2020-11-20,12:26:33,13,1320,1205,12,2,4.9964,0.9471,24.21,1.88,-3.68,98.27,-0.27,0.62
2020-11-20,12:27:40,35,1320,165,2,0,4.9869,0.948,24.21,1.85,-3.84,98.3,-0.26,0.61
2020-11-20,12:27:49,35,1320,590,6,0,4.9878,0.9478,24.21,1.86,-3.67,98.29,-0.27,0.59
